group,framing_type,crisis_name,mentions_per_article,raw_count,outlet
Israel,victim,Gaza and the Occupied Palestinian Territories,0.5923497268,542,Mail Online
Israel,causor,Gaza and the Occupied Palestinian Territories,0.3005464481,275,Mail Online
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.5945355191,544,Mail Online
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0535519126,49,Mail Online
Russia,victim,Ukraine,0.0291909925,35,NYT
Russia,causor,Ukraine,0.8765638032,1051,NYT
Ukraine,victim,Ukraine,0.8231859883,987,NYT
Ukraine,causor,Ukraine,0.0175145955,21,NYT
Israel,victim,Gaza and the Occupied Palestinian Territories,0.4880521361,674,NYT
Israel,causor,Gaza and the Occupied Palestinian Territories,0.4112961622,568,NYT
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.7190441709,993,NYT
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0651701665,90,NYT
Russia,victim,Ukraine,0.0135440181,6,BBC
Russia,causor,Ukraine,0.6659142212,295,BBC
Ukraine,victim,Ukraine,0.6365688488,282,BBC
Ukraine,causor,Ukraine,0.0248306998,11,BBC
Israel,victim,Gaza and the Occupied Palestinian Territories,0.4290865385,357,BBC
Israel,causor,Gaza and the Occupied Palestinian Territories,0.3653846154,304,BBC
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.6105769231,508,BBC
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0564903846,47,BBC
Russia,victim,Ukraine,0.0275099095,465,All Outlets
Russia,causor,Ukraine,0.7653670946,12937,All Outlets
Ukraine,victim,Ukraine,0.6964444182,11772,All Outlets
Ukraine,causor,Ukraine,0.0238419216,403,All Outlets
Israel,victim,Gaza and the Occupied Palestinian Territories,0.431975641,9789,All Outlets
Israel,causor,Gaza and the Occupied Palestinian Territories,0.3366135652,7628,All Outlets
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.5670093994,12849,All Outlets
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0392745245,890,All Outlets
